epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,719.185,1.08645,2.29101,1.40518,0.68019,0.68912,0.72712,0.44542,1.22032,3.41468,1.72772,0.00047358,0.00047358,0.00047358
2,1438.74,1.18444,1.78229,1.47359,0.56937,0.55474,0.53774,0.32767,1.48616,3.03206,1.75104,0.000926403,0.000926403,0.000926403
3,2101.11,1.22231,1.56896,1.50364,0.72313,0.53913,0.67916,0.46454,1.11237,2.21169,1.52187,0.00135565,0.00135565,0.00135565
4,614.103,1.19586,1.41003,1.47757,0.67933,0.5479,0.62742,0.40259,1.23177,2.02249,1.74246,0.0013229,0.0013229,0.0013229
5,1331.32,1.12524,1.24696,1.42852,0.74014,0.67893,0.76498,0.52865,1.0928,1.34419,1.48946,0.00128753,0.00128753,0.00128753
6,782.886,1.06046,1.08939,1.48612,0.84582,0.74198,0.79659,0.47478,1.37358,1.34768,2.18646,0.00125216,0.00125216,0.00125216
7,1567.31,1.01662,1.02759,1.36047,0.77662,0.79406,0.85481,0.6264,0.88646,1.09023,1.319,0.00121679,0.00121679,0.00121679
8,795.204,0.96704,0.9466,1.29683,0.80594,0.7464,0.81528,0.56865,0.92242,1.14075,1.3147,0.00118143,0.00118143,0.00118143
9,1589.84,0.91616,0.8712,1.48377,0.86406,0.79516,0.87214,0.65496,0.88736,1.1079,1.53616,0.00114606,0.00114606,0.00114606
10,2364.65,0.9798,0.9169,1.31544,0.80848,0.74196,0.8633,0.64274,0.90133,0.97138,1.29223,0.00111069,0.00111069,0.00111069
11,3144.12,0.97988,0.92095,1.30539,0.81617,0.82937,0.88776,0.68434,0.84886,0.87944,1.22255,0.00107532,0.00107532,0.00107532
12,3914.59,0.97842,0.90852,1.30576,0.86621,0.80137,0.88212,0.65125,0.88882,0.82502,1.26525,0.00103995,0.00103995,0.00103995
13,4673.67,0.92959,0.85538,1.28505,0.88972,0.81998,0.89118,0.68596,0.85151,0.67891,1.32563,0.00100459,0.00100459,0.00100459
14,5232.66,0.90846,0.81669,1.26319,0.89787,0.86564,0.9258,0.72142,0.84872,0.61655,1.27268,0.000969219,0.000969219,0.000969219
15,5776.51,0.88243,0.7737,1.24343,0.88998,0.84584,0.92864,0.71355,0.8536,0.67753,1.25567,0.000933851,0.000933851,0.000933851
16,6307.62,0.87756,0.78886,1.2368,0.8794,0.84798,0.9083,0.70432,0.85624,0.6611,1.27161,0.000898484,0.000898484,0.000898484
17,6849.59,0.86838,0.74593,1.2349,0.89569,0.83489,0.90936,0.69942,0.83046,0.79714,1.22808,0.000863116,0.000863116,0.000863116
18,7530.38,0.85264,0.72157,1.22129,0.8876,0.84725,0.93143,0.75609,0.76655,0.64166,1.23682,0.000827748,0.000827748,0.000827748
